Provincias;Tipología penal;periodo;Total
Total Nacional;ABUSO SEXUAL;2024;0
Total Nacional;ABUSO SEXUAL;2023;0
Total Nacional;ABUSO SEXUAL;2022;131
Total Nacional;ABUSO SEXUAL;2021;168
Total Nacional;ABUSO SEXUAL;2020;175
Total Nacional;ABUSO SEXUAL;2019;151
Total Nacional;ABUSO SEXUAL;2018;152
Total Nacional;ABUSO SEXUAL;2017;114
Total Nacional;ABUSO SEXUAL;2016;114
Total Nacional;ABUSO SEXUAL;2015;75
Total Nacional;ABUSO SEXUAL;2014;49
Total Nacional;ABUSO SEXUAL;2013;37
Total Nacional;ABUSO SEXUAL;2012;25
Total Nacional;ABUSO SEXUAL;2011;22
Total Nacional;ABUSO SEXUAL CON PENETRACIÓN;2024;0
Total Nacional;ABUSO SEXUAL CON PENETRACIÓN;2023;1
Total Nacional;ABUSO SEXUAL CON PENETRACIÓN;2022;0
Total Nacional;ABUSO SEXUAL CON PENETRACIÓN;2021;0
Total Nacional;ABUSO SEXUAL CON PENETRACIÓN;2020;0
Total Nacional;ABUSO SEXUAL CON PENETRACIÓN;2019;0
Total Nacional;ABUSO SEXUAL CON PENETRACIÓN;2018;0
Total Nacional;ABUSO SEXUAL CON PENETRACIÓN;2017;0
Total Nacional;ABUSO SEXUAL CON PENETRACIÓN;2016;0
Total Nacional;ABUSO SEXUAL CON PENETRACIÓN;2015;0
Total Nacional;ABUSO SEXUAL CON PENETRACIÓN;2014;0
Total Nacional;ABUSO SEXUAL CON PENETRACIÓN;2013;0
Total Nacional;ABUSO SEXUAL CON PENETRACIÓN;2012;0
Total Nacional;ABUSO SEXUAL CON PENETRACIÓN;2011;0
Total Nacional;ACCESO FRAUDULENTO A SERVICIOS DE RADIODIFUSIÓN/TV/OTROS;2024;55
Total Nacional;ACCESO FRAUDULENTO A SERVICIOS DE RADIODIFUSIÓN/TV/OTROS;2023;20
Total Nacional;ACCESO FRAUDULENTO A SERVICIOS DE RADIODIFUSIÓN/TV/OTROS;2022;0
Total Nacional;ACCESO FRAUDULENTO A SERVICIOS DE RADIODIFUSIÓN/TV/OTROS;2021;0
Total Nacional;ACCESO FRAUDULENTO A SERVICIOS DE RADIODIFUSIÓN/TV/OTROS;2020;0
Total Nacional;ACCESO FRAUDULENTO A SERVICIOS DE RADIODIFUSIÓN/TV/OTROS;2019;0
Total Nacional;ACCESO FRAUDULENTO A SERVICIOS DE RADIODIFUSIÓN/TV/OTROS;2018;0
Total Nacional;ACCESO FRAUDULENTO A SERVICIOS DE RADIODIFUSIÓN/TV/OTROS;2017;0
Total Nacional;ACCESO FRAUDULENTO A SERVICIOS DE RADIODIFUSIÓN/TV/OTROS;2016;0
Total Nacional;ACCESO FRAUDULENTO A SERVICIOS DE RADIODIFUSIÓN/TV/OTROS;2015;0
Total Nacional;ACCESO FRAUDULENTO A SERVICIOS DE RADIODIFUSIÓN/TV/OTROS;2014;0
Total Nacional;ACCESO FRAUDULENTO A SERVICIOS DE RADIODIFUSIÓN/TV/OTROS;2013;0
Total Nacional;ACCESO FRAUDULENTO A SERVICIOS DE RADIODIFUSIÓN/TV/OTROS;2012;0
Total Nacional;ACCESO FRAUDULENTO A SERVICIOS DE RADIODIFUSIÓN/TV/OTROS;2011;0
Total Nacional;ACCESO ILEGAL A SISTEMAS INFORMÁTICOS;2024;4.294
Total Nacional;ACCESO ILEGAL A SISTEMAS INFORMÁTICOS;2023;3.370
Total Nacional;ACCESO ILEGAL A SISTEMAS INFORMÁTICOS;2022;0
Total Nacional;ACCESO ILEGAL A SISTEMAS INFORMÁTICOS;2021;0
Total Nacional;ACCESO ILEGAL A SISTEMAS INFORMÁTICOS;2020;0
Total Nacional;ACCESO ILEGAL A SISTEMAS INFORMÁTICOS;2019;0
Total Nacional;ACCESO ILEGAL A SISTEMAS INFORMÁTICOS;2018;0
Total Nacional;ACCESO ILEGAL A SISTEMAS INFORMÁTICOS;2017;0
Total Nacional;ACCESO ILEGAL A SISTEMAS INFORMÁTICOS;2016;0
Total Nacional;ACCESO ILEGAL A SISTEMAS INFORMÁTICOS;2015;0
Total Nacional;ACCESO ILEGAL A SISTEMAS INFORMÁTICOS;2014;0
Total Nacional;ACCESO ILEGAL A SISTEMAS INFORMÁTICOS;2013;0
Total Nacional;ACCESO ILEGAL A SISTEMAS INFORMÁTICOS;2012;0
Total Nacional;ACCESO ILEGAL A SISTEMAS INFORMÁTICOS;2011;0
Total Nacional;ACCESO ILEGAL INFORMÁTICO;2024;0
Total Nacional;ACCESO ILEGAL INFORMÁTICO;2023;0
Total Nacional;ACCESO ILEGAL INFORMÁTICO;2022;3.154
Total Nacional;ACCESO ILEGAL INFORMÁTICO;2021;2.637
Total Nacional;ACCESO ILEGAL INFORMÁTICO;2020;2.302
Total Nacional;ACCESO ILEGAL INFORMÁTICO;2019;2.024
Total Nacional;ACCESO ILEGAL INFORMÁTICO;2018;1.694
Total Nacional;ACCESO ILEGAL INFORMÁTICO;2017;1.507
Total Nacional;ACCESO ILEGAL INFORMÁTICO;2016;1.420
Total Nacional;ACCESO ILEGAL INFORMÁTICO;2015;1.280
Total Nacional;ACCESO ILEGAL INFORMÁTICO;2014;991
Total Nacional;ACCESO ILEGAL INFORMÁTICO;2013;1.033
Total Nacional;ACCESO ILEGAL INFORMÁTICO;2012;995
Total Nacional;ACCESO ILEGAL INFORMÁTICO;2011;789
Total Nacional;ACOSO CONTRA LA LIBERTAD DE LAS PERSONAS;2024;1.353
Total Nacional;ACOSO CONTRA LA LIBERTAD DE LAS PERSONAS;2023;1.332
Total Nacional;ACOSO CONTRA LA LIBERTAD DE LAS PERSONAS;2022;0
Total Nacional;ACOSO CONTRA LA LIBERTAD DE LAS PERSONAS;2021;0
Total Nacional;ACOSO CONTRA LA LIBERTAD DE LAS PERSONAS;2020;0
Total Nacional;ACOSO CONTRA LA LIBERTAD DE LAS PERSONAS;2019;0
Total Nacional;ACOSO CONTRA LA LIBERTAD DE LAS PERSONAS;2018;0
Total Nacional;ACOSO CONTRA LA LIBERTAD DE LAS PERSONAS;2017;0
Total Nacional;ACOSO CONTRA LA LIBERTAD DE LAS PERSONAS;2016;0
Total Nacional;ACOSO CONTRA LA LIBERTAD DE LAS PERSONAS;2015;0
